OID_,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order_,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,locationRemarks,stateProvince,habitat,burnStatus,eventDate,site,recordNumber,occurrenceStatus,individualCount,dynamicProperties,preparations,sex,lifeStage,reproductiveCondition,associatedOccurrences,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,verbatimElevation,elevationAccuracy,elevation,elevationDEM,depth,depthAccuracy,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
1466,3748770415,375fe518-f58b-4ec7-868c-99218dfd2866,a448055c-85d5-4ccc-978b-322c266f17b1,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus baileyi,,SPECIES,"Chaetodipus baileyi (Merriam, 1894)",Chaetodipus baileyi,"(Merriam, 1894)",US,"Santa Catalina Mts., Stratton Canyon SE intersection with Old Mt. Lemmon Hwy",Trap Line 5-1,Arizona,Interior Chaparral,unburned,2021-11-20,ICN,DMR0051,PRESENT,1,"{ ""measurements"" : ""TOT: 176, TV: 90, HFL: 27, EAR: 10, WGT: 19 g"" , ""preservationFluid"" : ""70 percent ethanol"" }",alc | tiss,f,subadult,Mammae #: Ax. 0 Ab. 0 Ing. 4 | Mammae Condition: Sm. | Vagina condition: Imp. | Reproductive Stage: Nul. | Embryos: 0 | Placental scars: 0,originatingSampleOf (tissue): https://csvcoll.org/portal/collections/individual/index.php?guid=0a1063e9-45d7-4538-a50d-eaa6c02fb061 | originatingSampleOf (tissue): https://csvcoll.org/portal/collections/individual/index.php?guid=ef489a8d-9528-4d28-a15c-c96b49d4b016 | originatingSampleOf (tissue): https://csvcoll.org/portal/collections/individual/index.php?guid=fb93393e-725b-42d4-8047-fbcc49faf62a | originatingSampleOf (tissue): https://csvcoll.org/portal/collections/individual/index.php?guid=f749bdf8-f137-4ff3-a3f6-5da17493c01a | originatingSampleOf (fecal): https://csvcoll.org/portal/collections/individual/index.php?guid=471c661c-bf5b-4f73-8ece-9c0f3d05e009 | originatingSampleOf (tissue): https://csvcoll.org/portal/collections/individual/index.php?guid=66de0816-258f-4d1f-bc45-e364c41b8afb | originatingSampleOf (tissue): https://csvcoll.org/portal/collections/individual/index.php?guid=44fc7707-9f1d-4039-a7be-f98500d2fedc | originatingSampleOf (blood): https://csvcoll.org/portal/collections/individual/index.php?guid=e2b520ed-1860-4410-8036-7f81a486c5bb,814cdfb5-d4f8-4453-815f-ea5df98e76bf,32.500144,-110.681863,3,,1322,,1322,1322.408791,,,20,11,2021,2439581,2439581,PRESERVED_SPECIMEN,ASU,ASUMAC,ASUMAC008614,"Rowsey, Dakota M.",2023-07-19,CC0_1_0,,"Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.",,Native,2024-01-23T19:40:07.921Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
1611,3744741522,0a24d08e-be47-4042-b8da-3e800c3eb5f9,0a1063e9-45d7-4538-a50d-eaa6c02fb061,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus baileyi,,SPECIES,"Chaetodipus baileyi (Merriam, 1894)",Chaetodipus baileyi,"(Merriam, 1894)",US,"Santa Catalina Mts., Stratton Canyon SE intersection with Old Mt. Lemmon Hwy",Trap Line 5-1,Arizona,Interior Chaparral,unburned,2021-11-20,ICN,DMR0051,PRESENT,1,"{ ""preservationMeans"" : ""frozen -80 C"" , ""preservationFluid"" : ""95 percent ethanol"" }",liver,f,subadult,Mammae #: Ax. 0 Ab. 0 Ing. 4 | Mammae Condition: Sm. | Vagina condition: Imp. | Reproductive Stage: Nul. | Embryos: 0 | Placental scars: 0,subsampleOf (tissue): https://csvcoll.org/portal/collections/individual/index.php?guid=a448055c-85d5-4ccc-978b-322c266f17b1,814cdfb5-d4f8-4453-815f-ea5df98e76bf,32.500144,-110.681863,3,,1322,,1322,1322.408791,,,20,11,2021,2439581,2439581,MATERIAL_SAMPLE,ASU,ASUVTC,ASUVTC000712,"Rowsey, Dakota M.",2023-07-19,CC0_1_0,,"Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.",,Native,2024-01-22T23:57:03.666Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1614,3744741519,0a24d08e-be47-4042-b8da-3e800c3eb5f9,ef489a8d-9528-4d28-a15c-c96b49d4b016,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus baileyi,,SPECIES,"Chaetodipus baileyi (Merriam, 1894)",Chaetodipus baileyi,"(Merriam, 1894)",US,"Santa Catalina Mts., Stratton Canyon SE intersection with Old Mt. Lemmon Hwy",Trap Line 5-1,Arizona,Interior Chaparral,unburned,2021-11-20,ICN,DMR0051,PRESENT,1,"{ ""preservationMeans"" : ""frozen -80 C"" , ""preservationFluid"" : ""95 percent ethanol"" }",skeletal muscle,f,subadult,Mammae #: Ax. 0 Ab. 0 Ing. 4 | Mammae Condition: Sm. | Vagina condition: Imp. | Reproductive Stage: Nul. | Embryos: 0 | Placental scars: 0,subsampleOf (tissue): https://csvcoll.org/portal/collections/individual/index.php?guid=a448055c-85d5-4ccc-978b-322c266f17b1,814cdfb5-d4f8-4453-815f-ea5df98e76bf,32.500144,-110.681863,3,,1322,,1322,1322.408791,,,20,11,2021,2439581,2439581,MATERIAL_SAMPLE,ASU,ASUVTC,ASUVTC000713,"Rowsey, Dakota M.",2023-07-19,CC0_1_0,,"Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.",,Native,2024-01-22T23:57:03.683Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1613,3744741520,0a24d08e-be47-4042-b8da-3e800c3eb5f9,fb93393e-725b-42d4-8047-fbcc49faf62a,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus baileyi,,SPECIES,"Chaetodipus baileyi (Merriam, 1894)",Chaetodipus baileyi,"(Merriam, 1894)",US,"Santa Catalina Mts., Stratton Canyon SE intersection with Old Mt. Lemmon Hwy",Trap Line 5-1,Arizona,Interior Chaparral,unburned,2021-11-20,ICN,DMR0051,PRESENT,1,"{ ""preservationMeans"" : ""frozen -80 C"" , ""preservationFluid"" : ""95 percent ethanol"" }",kidney,f,subadult,Mammae #: Ax. 0 Ab. 0 Ing. 4 | Mammae Condition: Sm. | Vagina condition: Imp. | Reproductive Stage: Nul. | Embryos: 0 | Placental scars: 0,subsampleOf (tissue): https://csvcoll.org/portal/collections/individual/index.php?guid=a448055c-85d5-4ccc-978b-322c266f17b1,814cdfb5-d4f8-4453-815f-ea5df98e76bf,32.500144,-110.681863,3,,1322,,1322,1322.408791,,,20,11,2021,2439581,2439581,MATERIAL_SAMPLE,ASU,ASUVTC,ASUVTC000714,"Rowsey, Dakota M.",2023-07-19,CC0_1_0,,"Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.",,Native,2024-01-22T23:57:03.666Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1615,3744741518,0a24d08e-be47-4042-b8da-3e800c3eb5f9,f749bdf8-f137-4ff3-a3f6-5da17493c01a,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus baileyi,,SPECIES,"Chaetodipus baileyi (Merriam, 1894)",Chaetodipus baileyi,"(Merriam, 1894)",US,"Santa Catalina Mts., Stratton Canyon SE intersection with Old Mt. Lemmon Hwy",Trap Line 5-1,Arizona,Interior Chaparral,unburned,2021-11-20,ICN,DMR0051,PRESENT,1,"{ ""preservationMeans"" : ""frozen -80 C"" , ""preservationFluid"" : ""95 percent ethanol"" }",ectos,f,subadult,Mammae #: Ax. 0 Ab. 0 Ing. 4 | Mammae Condition: Sm. | Vagina condition: Imp. | Reproductive Stage: Nul. | Embryos: 0 | Placental scars: 0,subsampleOf (tissue): https://csvcoll.org/portal/collections/individual/index.php?guid=a448055c-85d5-4ccc-978b-322c266f17b1,814cdfb5-d4f8-4453-815f-ea5df98e76bf,32.500144,-110.681863,3,,1322,,1322,1322.408791,,,20,11,2021,2439581,2439581,MATERIAL_SAMPLE,ASU,ASUVTC,ASUVTC000715,"Rowsey, Dakota M.",2023-07-19,CC0_1_0,,"Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.",,Native,2024-01-22T23:57:03.667Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1617,3744741516,0a24d08e-be47-4042-b8da-3e800c3eb5f9,471c661c-bf5b-4f73-8ece-9c0f3d05e009,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus baileyi,,SPECIES,"Chaetodipus baileyi (Merriam, 1894)",Chaetodipus baileyi,"(Merriam, 1894)",US,"Santa Catalina Mts., Stratton Canyon SE intersection with Old Mt. Lemmon Hwy",Trap Line 5-1,Arizona,Interior Chaparral,unburned,2021-11-20,ICN,DMR0051,PRESENT,1,"{ ""preservationMeans"" : ""frozen -80 C"" , ""preservationFluid"" : ""95 percent ethanol"" }",heart,f,subadult,Mammae #: Ax. 0 Ab. 0 Ing. 4 | Mammae Condition: Sm. | Vagina condition: Imp. | Reproductive Stage: Nul. | Embryos: 0 | Placental scars: 0,subsampleOf (tissue): https://csvcoll.org/portal/collections/individual/index.php?guid=a448055c-85d5-4ccc-978b-322c266f17b1,814cdfb5-d4f8-4453-815f-ea5df98e76bf,32.500144,-110.681863,3,,1322,,1322,1322.408791,,,20,11,2021,2439581,2439581,MATERIAL_SAMPLE,ASU,ASUVTC,ASUVTC000716,"Rowsey, Dakota M.",2023-07-19,CC0_1_0,,"Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.",,Native,2024-01-22T23:57:03.658Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1616,3744741517,0a24d08e-be47-4042-b8da-3e800c3eb5f9,66de0816-258f-4d1f-bc45-e364c41b8afb,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus baileyi,,SPECIES,"Chaetodipus baileyi (Merriam, 1894)",Chaetodipus baileyi,"(Merriam, 1894)",US,"Santa Catalina Mts., Stratton Canyon SE intersection with Old Mt. Lemmon Hwy",Trap Line 5-1,Arizona,Interior Chaparral,unburned,2021-11-20,ICN,DMR0051,PRESENT,1,"{ ""preservationMeans"" : ""frozen -80 C"" , ""preservationFluid"" : ""none"" }",feces,f,subadult,Mammae #: Ax. 0 Ab. 0 Ing. 4 | Mammae Condition: Sm. | Vagina condition: Imp. | Reproductive Stage: Nul. | Embryos: 0 | Placental scars: 0,subsampleOf (fecal): https://csvcoll.org/portal/collections/individual/index.php?guid=a448055c-85d5-4ccc-978b-322c266f17b1,814cdfb5-d4f8-4453-815f-ea5df98e76bf,32.500144,-110.681863,3,,1322,,1322,1322.408791,,,20,11,2021,2439581,2439581,MATERIAL_SAMPLE,ASU,ASUVTC,ASUVTC000806,"Rowsey, Dakota M.",2023-07-19,CC0_1_0,,"Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.",,Native,2024-01-22T23:57:03.659Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1619,3744741514,0a24d08e-be47-4042-b8da-3e800c3eb5f9,44fc7707-9f1d-4039-a7be-f98500d2fedc,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus baileyi,,SPECIES,"Chaetodipus baileyi (Merriam, 1894)",Chaetodipus baileyi,"(Merriam, 1894)",US,"Santa Catalina Mts., Stratton Canyon SE intersection with Old Mt. Lemmon Hwy",Trap Line 5-1,Arizona,Interior Chaparral,unburned,2021-11-20,ICN,DMR0051,PRESENT,1,"{ ""preservationMeans"" : ""Nobuto filter strip, room temp."" , ""preservationFluid"" : ""none"" }",blood,f,subadult,Mammae #: Ax. 0 Ab. 0 Ing. 4 | Mammae Condition: Sm. | Vagina condition: Imp. | Reproductive Stage: Nul. | Embryos: 0 | Placental scars: 0,subsampleOf (blood): https://csvcoll.org/portal/collections/individual/index.php?guid=a448055c-85d5-4ccc-978b-322c266f17b1,814cdfb5-d4f8-4453-815f-ea5df98e76bf,32.500144,-110.681863,3,,1322,,1322,1322.408791,,,20,11,2021,2439581,2439581,MATERIAL_SAMPLE,ASU,ASUVTC,ASUVTC000807,"Rowsey, Dakota M.",2023-07-19,CC0_1_0,,"Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.",,Native,2024-01-22T23:57:03.657Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1618,3744741515,0a24d08e-be47-4042-b8da-3e800c3eb5f9,e2b520ed-1860-4410-8036-7f81a486c5bb,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus baileyi,,SPECIES,"Chaetodipus baileyi (Merriam, 1894)",Chaetodipus baileyi,"(Merriam, 1894)",US,"Santa Catalina Mts., Stratton Canyon SE intersection with Old Mt. Lemmon Hwy",Trap Line 5-1,Arizona,Interior Chaparral,unburned,2021-11-20,ICN,DMR0051,PRESENT,1,"{ ""preservationMeans"" : ""frozen -80 C"" , ""preservationFluid"" : ""95 percent ethanol"" }",lung,f,subadult,Mammae #: Ax. 0 Ab. 0 Ing. 4 | Mammae Condition: Sm. | Vagina condition: Imp. | Reproductive Stage: Nul. | Embryos: 0 | Placental scars: 0,subsampleOf (tissue): https://csvcoll.org/portal/collections/individual/index.php?guid=a448055c-85d5-4ccc-978b-322c266f17b1,814cdfb5-d4f8-4453-815f-ea5df98e76bf,32.500144,-110.681863,3,,1322,,1322,1322.408791,,,20,11,2021,2439581,2439581,MATERIAL_SAMPLE,ASU,ASUVTC,ASUVTC000887,"Rowsey, Dakota M.",2023-07-19,CC0_1_0,,"Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.",,Native,2024-01-22T23:57:03.659Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1470,3748770411,375fe518-f58b-4ec7-868c-99218dfd2866,b42a5cc4-e1ec-4324-912d-8318fec13b57,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus baileyi,,SPECIES,"Chaetodipus baileyi (Merriam, 1894)",Chaetodipus baileyi,"(Merriam, 1894)",US,"Santa Catalina Mts., Stratton Canyon SE intersection with Old Mt. Lemmon Hwy",Trap Line 5-2,Arizona,Interior Chaparral,unburned,2021-11-20,ICN,DMR0052,PRESENT,1,"{ ""measurements"" : ""TOT: 184, TV: 97, HFL: 26, EAR: 9, WGT: 23 g"" , ""preservationFluid"" : ""70 percent ethanol"" }",alc | tiss,m,adult,Testes Position: Abd. | Testis size: 5 x 3 R | Epididymus: Con.,originatingSampleOf (tissue): https://csvcoll.org/portal/collections/individual/index.php?guid=e1c88097-4bb8-4a52-9e65-4e17d7d850fd | originatingSampleOf (tissue): https://csvcoll.org/portal/collections/individual/index.php?guid=56ebf5aa-2d38-40c7-a65c-ecdd2df0455c | originatingSampleOf (tissue): https://csvcoll.org/portal/collections/individual/index.php?guid=74450d14-d78c-4ec9-a516-749eda6fa224 | originatingSampleOf (tissue): https://csvcoll.org/portal/collections/individual/index.php?guid=ff11fd8b-de4d-4798-816a-c81777b94e9a | originatingSampleOf (fecal): https://csvcoll.org/portal/collections/individual/index.php?guid=064ece00-26e1-4100-9a20-c7582c881968 | originatingSampleOf (tissue): https://csvcoll.org/portal/collections/individual/index.php?guid=5bd030da-88e0-49a0-9ba9-ef224d95f19d | originatingSampleOf (tissue): https://csvcoll.org/portal/collections/individual/index.php?guid=5a687101-9d83-4d4b-b5ea-55c368f1023a | originatingSampleOf (blood): https://csvcoll.org/portal/collections/individual/index.php?guid=20f46acf-cd02-4284-9aa3-aa1f25c32c0b,814cdfb5-d4f8-4453-815f-ea5df98e76bf,32.499198,-110.681755,3,,1318,,1318,1314.712929,,,20,11,2021,2439581,2439581,PRESERVED_SPECIMEN,ASU,ASUMAC,ASUMAC008637,"Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.",,CC0_1_0,,"Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.",,Native,2024-01-23T19:40:07.920Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
1621,3744741512,0a24d08e-be47-4042-b8da-3e800c3eb5f9,e1c88097-4bb8-4a52-9e65-4e17d7d850fd,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus baileyi,,SPECIES,"Chaetodipus baileyi (Merriam, 1894)",Chaetodipus baileyi,"(Merriam, 1894)",US,"Santa Catalina Mts., Stratton Canyon SE intersection with Old Mt. Lemmon Hwy",Trap Line 5-2,Arizona,Interior Chaparral,unburned,2021-11-20,ICN,DMR0052,PRESENT,1,"{ ""preservationMeans"" : ""frozen -80 C"" , ""preservationFluid"" : ""95 percent ethanol"" }",kidney,m,adult,Testes Position: Abd. | Testis size: 5 x 3 R | Epididymis: Con.,subsampleOf (tissue): https://csvcoll.org/portal/collections/individual/index.php?guid=b42a5cc4-e1ec-4324-912d-8318fec13b57,814cdfb5-d4f8-4453-815f-ea5df98e76bf,32.499198,-110.681755,3,,1318,,1318,1314.712929,,,20,11,2021,2439581,2439581,MATERIAL_SAMPLE,ASU,ASUVTC,ASUVTC000717,"Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.",,CC0_1_0,,"Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.",,Native,2024-01-22T23:57:03.681Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1620,3744741513,0a24d08e-be47-4042-b8da-3e800c3eb5f9,56ebf5aa-2d38-40c7-a65c-ecdd2df0455c,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus baileyi,,SPECIES,"Chaetodipus baileyi (Merriam, 1894)",Chaetodipus baileyi,"(Merriam, 1894)",US,"Santa Catalina Mts., Stratton Canyon SE intersection with Old Mt. Lemmon Hwy",Trap Line 5-2,Arizona,Interior Chaparral,unburned,2021-11-20,ICN,DMR0052,PRESENT,1,"{ ""preservationMeans"" : ""frozen -80 C"" , ""preservationFluid"" : ""95 percent ethanol"" }",liver,m,adult,Testes Position: Abd. | Testis size: 5 x 3 R | Epididymis: Con.,subsampleOf (tissue): https://csvcoll.org/portal/collections/individual/index.php?guid=b42a5cc4-e1ec-4324-912d-8318fec13b57,814cdfb5-d4f8-4453-815f-ea5df98e76bf,32.499198,-110.681755,3,,1318,,1318,1314.712929,,,20,11,2021,2439581,2439581,MATERIAL_SAMPLE,ASU,ASUVTC,ASUVTC000718,"Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.",,CC0_1_0,,"Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.",,Native,2024-01-22T23:57:03.653Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1623,3744741510,0a24d08e-be47-4042-b8da-3e800c3eb5f9,74450d14-d78c-4ec9-a516-749eda6fa224,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus baileyi,,SPECIES,"Chaetodipus baileyi (Merriam, 1894)",Chaetodipus baileyi,"(Merriam, 1894)",US,"Santa Catalina Mts., Stratton Canyon SE intersection with Old Mt. Lemmon Hwy",Trap Line 5-2,Arizona,Interior Chaparral,unburned,2021-11-20,ICN,DMR0052,PRESENT,1,"{ ""preservationMeans"" : ""frozen -80 C"" , ""preservationFluid"" : ""95 percent ethanol"" }",ectos,m,adult,Testes Position: Abd. | Testis size: 5 x 3 R | Epididymis: Con.,subsampleOf (tissue): https://csvcoll.org/portal/collections/individual/index.php?guid=b42a5cc4-e1ec-4324-912d-8318fec13b57,814cdfb5-d4f8-4453-815f-ea5df98e76bf,32.499198,-110.681755,3,,1318,,1318,1314.712929,,,20,11,2021,2439581,2439581,MATERIAL_SAMPLE,ASU,ASUVTC,ASUVTC000719,"Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.",,CC0_1_0,,"Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.",,Native,2024-01-22T23:57:03.652Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1622,3744741511,0a24d08e-be47-4042-b8da-3e800c3eb5f9,ff11fd8b-de4d-4798-816a-c81777b94e9a,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus baileyi,,SPECIES,"Chaetodipus baileyi (Merriam, 1894)",Chaetodipus baileyi,"(Merriam, 1894)",US,"Santa Catalina Mts., Stratton Canyon SE intersection with Old Mt. Lemmon Hwy",Trap Line 5-2,Arizona,Interior Chaparral,unburned,2021-11-20,ICN,DMR0052,PRESENT,1,"{ ""preservationMeans"" : ""frozen -80 C"" , ""preservationFluid"" : ""95 percent ethanol"" }",skeletal muscle,m,adult,Testes Position: Abd. | Testis size: 5 x 3 R | Epididymis: Con.,subsampleOf (tissue): https://csvcoll.org/portal/collections/individual/index.php?guid=b42a5cc4-e1ec-4324-912d-8318fec13b57,814cdfb5-d4f8-4453-815f-ea5df98e76bf,32.499198,-110.681755,3,,1318,,1318,1314.712929,,,20,11,2021,2439581,2439581,MATERIAL_SAMPLE,ASU,ASUVTC,ASUVTC000720,"Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.",,CC0_1_0,,"Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.",,Native,2024-01-22T23:57:03.653Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1625,3744741508,0a24d08e-be47-4042-b8da-3e800c3eb5f9,064ece00-26e1-4100-9a20-c7582c881968,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus baileyi,,SPECIES,"Chaetodipus baileyi (Merriam, 1894)",Chaetodipus baileyi,"(Merriam, 1894)",US,"Santa Catalina Mts., Stratton Canyon SE intersection with Old Mt. Lemmon Hwy",Trap Line 5-2,Arizona,Interior Chaparral,unburned,2021-11-20,ICN,DMR0052,PRESENT,1,"{ ""preservationMeans"" : ""frozen -80 C"" , ""preservationFluid"" : ""95 percent ethanol"" }",heart,m,adult,Testes Position: Abd. | Testis size: 5 x 3 R | Epididymis: Con.,subsampleOf (tissue): https://csvcoll.org/portal/collections/individual/index.php?guid=b42a5cc4-e1ec-4324-912d-8318fec13b57,814cdfb5-d4f8-4453-815f-ea5df98e76bf,32.499198,-110.681755,3,,1318,,1318,1314.712929,,,20,11,2021,2439581,2439581,MATERIAL_SAMPLE,ASU,ASUVTC,ASUVTC000721,"Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.",,CC0_1_0,,"Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.",,Native,2024-01-22T23:57:03.652Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1624,3744741509,0a24d08e-be47-4042-b8da-3e800c3eb5f9,5bd030da-88e0-49a0-9ba9-ef224d95f19d,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Chaetodipus,Chaetodipus baileyi,,SPECIES,"Chaetodipus baileyi (Merriam, 1894)",Chaetodipus baileyi,"(Merriam, 1894)",US,"Santa Catalina Mts., Stratton Canyon SE intersection with Old Mt. Lemmon Hwy",Trap Line 5-2,Arizona,Interior Chaparral,unburned,2021-11-20,ICN,DMR0052,PRESENT,1,"{ ""preservationMeans"" : ""frozen -80 C"" , ""preservationFluid"" : ""none"" }",feces,m,adult,Testes Position: Abd. | Testis size: 5 x 3 R | Epididymis: Con.,subsampleOf (fecal): https://csvcoll.org/portal/collections/individual/index.php?guid=b42a5cc4-e1ec-4324-912d-8318fec13b57,814cdfb5-d4f8-4453-815f-ea5df98e76bf,32.499198,-110.681755,3,,1318,,1318,1314.712929,,,20,11,2021,2439581,2439581,MATERIAL_SAMPLE,ASU,ASUVTC,ASUVTC000854,"Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.",,CC0_1_0,,"Rowsey, Dakota M.; Upham, Nathan S.; Smith, Stephanie M.",,Native,2024-01-22T23:57:03.652Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
